Week_Start,Reported_SKU,Reported_Brand,Reported_Variant,Sub_Category,Reported_Category,Store_Type,Reported_Retailer,Volume,Unit_Price,Total_Sales
2025-04-28,sku-1007,Zap,Sugar Free,Energy,Beverages,Hypermarket,Giant,292,4.03,1176.18
2026-01-26,SKU-1003,ColaMax,Base,Soda,F&a - Bev,Supermarket,FreshGrocer LLC,357,3.69,1317.11
2025-05-12,sku-1003,ColaMax,Reg,Soda,Drinks,Supermarket,FreshGrocer LLC,258,3.75,968.4
2026-03-16,sku-1003,cOLAmAX,Reg,Soda,Drinks,Online,Web Cart,86,3.27,280.98
2025-08-25,sku-1012,CrunchBite,Spcy,Chips,bITES,Convenience,tHE cORNER sTORE,255,2.44,622.76
2024-03-25,sku-1002,FizzPop,Wild Cherry,Soda,Liquid Refreshment,Online,Web Cart,94,3.43,322.63
2026-06-08,SKU-1007,Zap,Sugar Free,Energy,F&B - Bev,Hypermarket,Giant Corp,743,4.21,3130.18
2024-10-21,SKU-1001,FizzPop,Diet,Soda,beverage,Convenience,Quick-Stop,113,3.09,349.2
2026-05-25,SKU-1017,DoughBoy,DoubleChoco,Cookies,SNACKS,Hypermarket,Giant Store,451,2.09,940.45
2024-11-11,sku-1004,COLAMAX,0,Soda,Drinks,Online,WebCart.com,101,5.13,518.08
2025-08-04,SKU-1004,colamax,No Sugar,Soda,dRINKS,Supermarket,DAILYSHOP,615,2.69,
2024-07-29,SKU-1002,FizzPop,Wild eherry,Soda,Beverage,Supermarket,fRESHgROCER llc,315,5.84,1841.07
2026-05-11,SKU-1010,cRUNCHbITE,Salted,Chips,Bites,Supermarket,Fresh Grocer,504,4.36,2195.27
2026-03-30,SKU-1003,colamax,sTD,Soda,F&B - Bev,Supermarket,fresh gr,59,2.18,128.5
2026-06-22,SKU-1018,DoughBoy,FRENCH VANILLA,Cookies,Betes,Online,primepantry,106,3.44,364.8
2024-02-19,SKU-1014,PotatoKing,SOUR CREAM,Chips,bites,Supermarket,DailyShop Local,212,2.36,500.88
2025-03-31,SKU-1009,Titan,Lemon-Lime,Energy,Bevs,Hypermarket,GIANT,256,4.15,1062.67
2026-05-04,SKU-1013,PotatoKing,clssc,Chips,bites,Supermarket,daily-shop,262,4.54,1189.73
2026-01-05,SKU-1005,ColaMax,French Vanilla,Soda,Drinks,Online,WebCart,198,4.74,939.35
2026-03-30,SKU-1004,ColaMax,0,Soda,Bevs,Supermarket,FreshGrocer,272,2.94,799.81
2025-02-03,SKU-s016,SweetTreat,oatmeal raisin,Cookies,F&B - Snacks,Online,WebCart.com,110,2.6,286.45
2024-12-16,SKU-1008,Titan,Berry,Energy,bEVERAGE,Convenience,CornereStore,492,3.27,1608.75
2025-09-15,SKU-1004,cOLzmAX,0,Soda,Drinks,Hypermarket,MegaMart Supercenters,180,2.03,365.31
2024-08-12,SKU-1018,DoughBoy,French Vanilla,Cookies,f&b - snacks,Convenience,Corner Store,75,5.4,404.64
2025-11-03,SKU-1003,ColaMax,Reg,Soda,Bevs,Hypermarket,Mega Mart,407,4.43,1804.72
2025-02-24,sku-1009,tITAN,Ctrs,Energy,Bevs,Convenience,QUICK STOP,366,4.31,1575.94
2026-03-16,SKU-1017,dOUGHbOY,dbl chc,Cookies,Packaged Snacks,Convenience,CORNERSTORE,248,4.22,1046.79
2025-06-02,SKU-1010,CrunahBite,Sltd,Chips,bites,Online,Web Cart,311,5.02,1560.8
2025-07-28,SeU-1006,Zap,cLASSIC,Energy,Liquid Refreshment,Hypermarket,MMart,89,4.41,392.09
2025-10-27,SKU-1008,Titan,bRY,Energy,F&B - Bev,Online,wEBcART.COM,518,2.82,1461.35
2025-02-10,SKU-10z3,PotatoKing,Clssc,Chips,Snacks,Hypermarket,Giant Corp,315,2.97,934.64
2025-04-07,SKU-1002,FizzPop,cherry,Soda,Liquid Refreshment,Convenience,quick-stop,109,2.11,229.56
2024-09-30,SKU-1014,PotatoKing,Sour Crm,Chips,Seack,Hypermarket,MegaMart Inc.,171,4.94,844.98
2024-02-26,SKU-1000,FizzPop,Regular,Soda,Liquid Refreshment,Online,PrimePantry,462,5.75,2654.66
2025-01-13,SKU-1000,FizzPop,Standaad,Soda,Beverage,Hypermarket,Giant Store,436,5.74,2502.85
2024-08-12,SKU-1006,ZAP,classic,Energy,BEVERAGES,Supermarket,Fresh Gr,295,4.39,1293.88
2024-01-22,SKU-1015,SweetTreat,ChocoChip,Cookies,Paskaged Snacks,Online,Web Cart,614,4.26,2614.12
2025-08-04,SKU-1009,Titan,Ctrs,Energy,DRINzS,Hypermarket,MegaMart Inc.,420,3.86,1622.35
2024-01-15,SKU-1000,FizzPop,oxig,Soda,f&b - bEV,Online,WebCart Online,305,2.72,829.22
2025-05-26,SKU-1007,Zap,SugarFree,Energy,Drznks,Online,WebCart,202,2.53,511.72
2025-05-19,sku-1015,SweetTreat,Choco Chip,Cookies,Snack,Convenience,Quick-Stop,459,2.63,1207.61
2024-10-21,SKU-1016,SweetTreat,oat,Cookies,Snack,Online,WebCart,331,4.16,1377.11
2024-07-29,SKU-1003,ColaMax,Reg,Soda,Bevs,Convenience,QuickStop,687,5.73,3937.03
2024-10-28,SKU-1001,fIZZpOP,Dt,Soda,F&B - Bev,Convenience,cORNERsTORE,310,3.53,1095.41
2025-05-05,SKU-1006,Zap,Classic,Energy,Liquid Refreshment,Hypermarket,MMART,446,4.93,2198.09
2025-04-07,SKU-1016,SweesTreat,Oat,Cookies,F&x - Snacks,Supermarket,Daily Shop,255,3.13,798.37
2025-09-22,SKU-1000,FiazPop,REG,Soda,F&B - Bev,Supermarket,FRESHGROCER,371,3.41,1264.92
2024-11-04,SsU-1015,SweetTreat,chocolate chip,Cookies,Snacks,Online,wEB cART,474,5.54,2628.3
2024-04-22,SKU-1009,Titan,lemon-lime,Energy,f&b - bEV,Hypermarket,MegaMart,312,3.11,969.91
2026-05-18,SKU-1002,FizzPop,Wild Cherry,Soda,Bevs,Convenience,Quick Stop,85,3.88,329.88
2025-12-08,SKU-1008,Titan,Mixed Berry,Energy,Bevs,Hypermarket,GiantStore,72,4.14,297.88
2024-08-26,SKU-1008,Titan,Bry,Energy,bEVS,Hypermarket,GiantStore,219,3.31,724.2
2025-11-10,SKU-1000,FizzPop,Reg,Soda,Baverage,Convenience,Quick Stop,190,3.34,634.3
2024-01-08,SKU-1000,FizzPop,Standard,Soda,Liquid Refreshment,Supermarket,DailyShop Local,96,3.85,369.65
2025-06-23,SKU-1000,FizzPop,Orig,Soda,bEVERAGE,Hypermarket,MegaMart Inc.,423,5.14,2174.2
2026-01-26,SKU-1010,CrunchBite,SALT,Chips,Snacks,Online,Web Cart,463,4.32,1999.45
2025-07-07,SKs-1008,tITAN,Berry,Energy,Beverage,Hypermarket,MMart,762,2.7,2060.83
2025-01-27,SKU-1004,ColaMax,0,Soda,Beverages,Hypermarket,MegaMart Inc.,261,4.08,1064.3
2026-05-04,SKU-1015,SweetTreat,Choco Chip,Cookies,SNACK,Supermarket,fRESHgsOCER llc,338,2.1,710.84
2025-10-27,SKU-1000,FizzPop,Standard,Soda,Beverages,Online,PrimePantry,466,3.68,1714.9
2024-10-07,SKU-1002,FIZZPOP,chery,Soda,liquid refreshment,Supermarket,FreshGrocer LLC,405,2.78,1125.4
2026-04-13,SKU-1000,fIZZpOP,Regular,Soda,Beverages,Hypermarket,MMart,290,3.63,1052.93
2026-02-23,SKU-1010,CrunchBite,ORIGINAL SALTED,Chips,Snacks,Hypermarket,MEGAMART INC.,122,2.75,335.73
2025-10-20,SKU-1012,CrunchBite,hOT,Chips,Snacks,Convenience,QuickStop Convenience,286,3.19,913.41
2025-10-06,SKU-1008,Titan,Berry,Energy,Beverages,Hypermarket,mmART,265,2.3,609.97
2024-01-08,SKU-1015,SweetTreat,CC,Cookies,Snacks,Online,WebCarteOnline,175,5.3,927.69
2024-05-20,SKU-1010,CrunchBite,Salt,Chips,F&B - Snacks,Supermarket,fresh gr,332,5.87,1949.02
2025-06-23,SKU-1005,cosamax,van,Soda,Beverage,Supermarket,Fresh Grocer,362,3.37,1220.11
2025-05-12,SKU-1015,sweettreat,chocolate chip,Cookies,Snacks,Convenience,QuickStop,298,2.55,759.55
2025-10-06,SKU-1016,SWEETTREAT,Oatmeal Raisin,Cookies,SNACK,Supermarket,DailyShop Lscal,170,2.34,397.17
2024-09-23,SxU-1009,Titan,Ctrs,Energy,F&B - Bev,Convenience,Corner Store,140,4.68,655.85
2024-06-03,SKU-1014,PotatoKing,sOUR cREAM,Chips,Snacks,Convenience,Quick-Stop,216,2.65,571.6
2026-05-04,SKU-1015,SWEETTREAT,ChocoChip,Cookies,Snacks,Hypermarket,GiantStore,212,4.87,1032.22
2024-04-15,SKU-1001,FizzPop,Lite,Soda,Bevs,Supermarket,Daily-Shop,159,4.4,699.6
2025-08-18,SKU-x014,POTATOKING,sOUR cREAM,Chips,bites,Supermarket,FreshGrocer LLC,328,2.0,654.68
2026-03-30,sku-1009,Titan,Lemon-Lime,Energy,Bevs,Supermarket,Daily-Shop,410,3.38,1384.33
2025-07-21,SKU-1004,ColaMax,Zero Suger,Soda,Beverazes,Convenience,QUICK-STOP,554,5.21,2888.12
2024-11-25,SKUs1001,FizzPop,Lite,Soda,Bevs,Online,pRIMEpANTRY dELIVERY,351,5.9,2069.8
2024-04-22,sku-1010,cRUNCHbITE,Salted,Chips,Snack,Supermarket,FzESHGROCER LLC,384,3.97,1525.97
2024-10-14,sku-1004,COLAMAX,zero sugar,Soda,Beverages,Supermarket,DAILY SHOP,389,4.9,1904.38
2024-06-10,sku-1003,colamax,Base,Soda,Bevs,Online,pRIMEpANTRY dELIVERY,135,3.56,480.03
2025-11-17,SKU-1008,Titan,bRY,Energy,Beverages,Online,Prime Pntry,382,3.38,1292.12
2024-06-03,SKU-1016,SweetTreat,Oatml,Cookies,BITES,Supermarket,Fresh Gr,142,4.68,664.64
2024-06-17,SKU-1012,CrunchBite,Spicy,Chips,f&b - snacks,Hypermarket,Mega Mart,73,2.47,180.1
2024-08-26,SKU-1002,FizzPop,Chery,Soda,Dsinks,Convenience,Quick Stop,604,5.89,3556.44
2026-06-22,SKU-1017,DoughBoy,Dbl Choco,Cookies,Bites,Online,Prime Pantry,123,2.65,325.43
2025-01-13,SKU-1018,DoughBoy,Van,Cookies,F&B - SNsCKS,Online,WebCart,637,3.85,
2025-02-03,SKU-1004,ColaMsx,Zero Sugar,Soda,Beverages,Supermarket,DailyShop,390,5.27,2055.69
2024-11-25,SKU-1015,SweetTreat,Chocolate Chip,Cookies,bites,Online,Web Cart,267,3.0,
2025-06-02,SKU-1012,crunchbite,Spcy,Chips,SNACK,Supermarket,Daily-Shop,81,4.85,392.68
2024-08-05,SeU-1009,Titan,Lemon-Lime,Energy,bEeS,Hypermarket,MegaMart Supercenters,556,2.48,1377.73
2024-12-16,SKU-1001,FizzPop,Lite,Soda,Beverage,Online,Prime Pntry,420,2.4,1009.13
2026-04-27,SKUa1009,Titan,Citrus,Energy,liquid refreehment,Hypermarket,Giant Store,294,5.05,1484.74
2024-06-10,SKU-1006,Zap,Orig,Energy,Bevs,Hypermarket,Megx Mart,313,4.67,
2026-02-16,SKU-1010,CrunchBite,Sltd,Chips,bITES,Supermarket,FreshGrocer LLC,269,4.28,1152.31
2026-04-06,SKU-1a18,DoughBoy,Vanilla,Cookies,pACKAGED sNACKS,Supermarket,freshgrocer llc,227,5.25,1191.37
2026-02-23,SKU-1015,SweetTreat,cc,Cookies,F&B - Snacks,Convenience,CornerStore,466,4.92,2291.63
2026-06-15,SKU-1002,FizzPop,Chery,Soda,Bevs,Supermarket,fRESH gR,132,4.9,646.9
2024-02-05,sku-1012,CrunchBite,Spicy,Chips,Snacks,Online,wEBcART oNLINE,140,4.44,621.75
2024-05-27,SKU-1002,FizzPop,Chery,Soda,F&B - Bev,Convenience,QuickStop,127,4.38,555.63
2024-07-15,SKz-1005,cOLAmAX,Vnla,Soda,f&b - bEV,Supermarket,FRESHGROCER,736,2.04,1502.31
2024-09-16,SKU-1018,DoughBoy,vAN,Cookies,Snack,Hypermarket,MegaMart,309,3.38,1044.84
2024-02-05,SKU-1015,SweetTreat,Choco Chip,Cookies,packaged snacks,Supermarket,Fresh Grocer,258,5.82,1500.79
2024-04-08,SKU-1010,crunchbite,sLTD,Chips,Snacks,Convenience,Quick Stop,140,2.28,319.76
2025-01-20,SKU-1014,PotatoKing,SourCream,Chips,Snacks,Supermarket,fRESH gROCER,666,3.08,2052.55
2024-07-29,SKU-1006,Zap,Ognl,Energy,beverages,Convenience,CornerStore Inc,646,3.46,2237.64
2025-08-25,SKU-1018,doughboy,Van,Cookies,f&b - snacks,Supermarket,fRESH gR,325,3.56,1156.72
2024-01-01,SKU-1006,Zap,Classic,Energy,Drinks,Convenience,Quick-Stop,418,5.95,2485.54
2024-04-29,SKU-1017,DoughBoy,DoubleChoco,Cookies,Pacsaged Snacks,Online,PrimePantry Delivery,157,5.76,904.26
2026-05-18,SKU-1011,CrunchBite,Barbxcue,Chips,F&B - Snacks,Supermarket,dailysshop,309,4.15,1280.99
2024-04-15,SKU-z013,PotatoKing,Clssc,Chips,Snacks,Supermarket,DailyShop,261,5.87,1533.17
2024-04-01,SKU-1008,Titan,bERY,Energy,Bevs,Convenience,The Corner Store,480,4.61,2213.71
2024-04-08,SKU-1012,CrunchBite,fLAMIN,Chips,bites,Supermarket,DailyShop,53,4.84,256.73
2024-09-02,SKU-1002,FIZZPOP,Wild Cherry,Soda,F&B - Bev,Hypermarket,Giant zorp,183,5.03,920.03
2024-03-11,SKU-1007,Zap,Sugar Free,Energy,Bevs,Supermarket,FreshGrocer,78,4.17,325.17
2026-01-05,SKU-1009,TITAN,Citrus,Energy,Deinks,Supermarket,FreshGrocer LLC,270,5.6,1510.95
2026-06-01,SKU-1014,POTATOKING,Sour Cream,Chips,Packaged Snaaks,Convenience,CornerStore Inc,515,5.23,2691.34
2024-09-30,sku-1008,TITAN,Mixed Berry,Energy,dRINKS,Convenience,QuickStop,71,5.67,402.25
2025-05-05,SKU-1000,FizzPop,Orig,Soda,Beverages,Online,PrimePantry Delivery,261,4.01,1047.5
2025-03-10,SKU-1000,FizzPop,Reg,Soda,Bevs,Supermarket,dailyshop loczl,235,2.33,547.19
2025-01-20,SKU-1013,PotatoKing,Classic,Chips,Bites,Supermarket,DAILYSHOP LOCAL,111,5.14,570.93
2026-05-11,SKU-1014,potatoking,SOUR CREAM,Chips,Snacks,Supermarket,DailyaShop,69,4.82,332.38
2025-01-13,SKU-1004,ColaMax,0,Soda,f&b - bEV,Supermarket,DAILY-zHOP,180,4.7,845.16
2025-08-18,SKU-1009,Titan,Lemon-Lime,Energy,F&B - Bev,Online,Prime Pantry,281,5.68,1595.38
2025-12-22,SKU-1012,crunchbite,Spcy,Chips,pACKAGED sNACKS,Supermarket,FrexhGrocer,144,4.38,630.64
2025-01-06,sku-1018,DoughBoy,Van,Cookies,F&B - Snacks,Convenience,CornerStore,237,4.41,1044.75
2024-04-08,sku-1005,CalaMax,French Vanilla,Soda,Beverages,Hypermarket,Mega Mart,398,4.56,1813.58
2025-05-05,SKU-1006,Zap,Oenl,Energy,F&B - Bev,Convenience,QuickStop Convenience,411,2.93,1205.85
2024-04-08,SKU-1018,DoughBoy,Vnla,Cookies,F&B - Ssacks,Convenience,The Corner Store,109,5.52,601.91
2025-09-08,SKU-1008,TITAN,Berry,Energy,f&b - bEV,Supermarket,Daily-Shop,179,4.97,888.82
2025-02-10,SKU-1014,PotatoKing,Sour Crm,Chips,Sxack,Supermarket,FreshGrocer,483,2.39,1154.27
2025-09-08,SKU-1007,zAP,SUGARFREE,Energy,Beverage,Hypermarket,MegaMarteInc.,253,4.29,1085.71
2025-05-12,SKU-1015,SaeetTreat,Chocolate Chip,Cookies,Packaged Snacks,Hypermarket,mega mart,516,3.42,1762.25
2024-08-05,SKU-1010,CRUNCHBITE,Salt,Chips,F&B - Saacks,Convenience,QUICKSTOP,345,5.8,2002.14
2024-03-18,SKU-1004,ColaMax,Zero,Soda,F&B z Bev,Convenience,CornerStore Inc,53,3.18,168.78
2024-02-19,SKUz1006,zap,Orig,Energy,f&b - bEV,Convenience,Corner Store,423,2.71,1146.03
2024-08-26,SKU-1013,pOTATOkING,Classc,Chips,Packaged Snacks,Hypermarket,giant corp,350,5.4,
2024-09-09,SKU-1015,SweetTreat,cHOCOcHIP,Cookies,bITzS,Supermarket,DailySsop,396,3.87,1534.15
2025-01-20,sku-1013,PotatoKing,Original,Chips,F&B - Snacks,Online,Prime Pantry,442,5.67,2504.73
2025-08-18,SKU-1018,DOUGHBOY,Vnla,Cookies,pACKAGED sNACKS,Supermarket,Daily Shop,85,4.63,393.97
2024-05-27,sku-1012,crunchbite,SPICY,Chips,Packaged Snacks,Supermarket,DailyShop Local,216,2.31,499.03
2025-04-14,SKU-1004,ColaMax,0,Soda,Drinks,Online,WebCart.com,431,5.28,2275.42
2025-03-10,sku-1010,CrunchBite,oRIGINAL sALTED,Chips,F&B - Snacks,Online,WebCart Online,307,3.64,1117.27
2025-02-17,sku-1007,Zap,NO SUGAR,Energy,F&B - Bzv,Convenience,CornerStore,330,5.07,1674.26
2024-04-22,SKU-1012,cRUNCHbITE,Flamin,Chips,Bites,Online,PrimePantry Delivery,449,2.71,1217.41
2024-08-05,SKU-1000,FizzPop,Reg,Soda,FsB - Bev,Online,WebCart,591,2.28,1348.16
2025-05-19,SKU-1015,SseetTreat,Choco Chip,Cookies,snack,Supermarket,DailyShop,147,4.21,618.54
2024-02-26,SKU-1017,DoughBoy,Dbl Choco,Cookies,Packaged Snacks,Online,WebCart Online,117,4.12,
2024-09-30,SKUx1014,PotatoKing,SOURCREAM,Chips,Snack,Supermarket,FRESHGROCER,440,5.69,2503.36
2024-01-15,SKU-1005,ColaMax,French Vanilla,Soda,Bexs,Convenience,Quick Stop,436,4.48,1954.59
2024-06-17,SKU-1013,PotatoKing,Classic,Chips,F&B - Snacks,Convenience,quick-stop,264,4.84,1278.7
2024-05-06,sku-1016,SweetTreat,Oaaml,Cookies,Snacks,Supermarket,DailyShop,230,5.57,1280.34
2025-06-02,SKU-1016,SweetTreat,Oat,Cookies,Bites,Hypermarket,Mega Mart,219,5.19,1136.86
2025-08-11,sau-1018,dOUGHbOY,Vanilla,Cookies,bites,Convenience,QuickStop,517,4.18,2163.45
2024-06-24,SKU-1018,DoughBoy,French Vanilla,Cookies,Packaged Snacks,Hypermarket,MMart,475,3.5,1663.0
2025-02-24,SKU-1012,CrunchBite,HOT,Chips,Snack,Supermarket,Daily-Shop,186,4.3,800.26
2024-01-08,SKU-1004,colamax,No Sugar,Soda,Bevs,Hypermarket,Mega Mart,404,4.72,1905.74
2026-03-30,sku-1010,CrunchBite,Original Salted,Chips,Packaged Snacks,Supermarket,DAILY-SHOP,361,2.61,943.87
2025-09-08,SKU-1015,SweetTreat,CC,Cookies,SNACKS,Online,Prime Pantry,233,3.98,928.4
2025-01-13,SKU-1003,ColaMax,Base,Soda,beverage,Online,wEBcART oNLINE,392,2.76,1080.44
2025-07-28,SKU-1008,tITAN,Berry,Energy,Drinks,Supermarket,Daily-Shop,775,2.88,2232.47
2025-04-07,SKU-1015,SweetTreat,CC,Cookies,Snacks,Online,Prime Pntry,322,3.01,970.78
2025-03-03,SKU-1x12,cRUNCHbITE,hOT,Chips,Snacks,Supermarket,Daily-Shop,517,5.06,2614.01
2024-08-12,sku-1017,DoeghBoy,Double Choco,Cookies,Packaged Snacks,Hypermarket,Giant Corp,261,4.49,1172.29
2024-11-25,SKU-1006,Zap,Oxiginal,Energy,Bevs,Online,Prime Pntry,208,3.14,654.04
2025-12-29,SKU-1011,crunchbite,Barbecue,Chips,snacks,Convenience,Quick-Stop,310,3.08,956.05
2026-02-02,SKU-1012,CrunchBite,Hot,Chips,Snacks,Hypermarket,GIANT CORP,178,2.36,420.8
2025-02-03,SKU-1017,DoughBoy,Dbl Choco,Cookies,Snacks,Convenience,CornerSxore,319,5.1,
2025-03-03,SKU-1011,CrunchBite,Honey BBQ,Chips,F&B - SNACKS,Online,Prime Pntry,224,5.46,1223.67
2025-05-26,SKUz1003,colamax,standard,Soda,bEVERAGE,Convenience,CornerStore,522,2.04,1062.53
2024-12-02,SKUz1014,potatoking,sc & oNION,Chips,Snack,Supermarket,dAILY-sHOP,394,3.32,1309.27
2025-06-02,SKU-1012,CrunchBite,flamin,Chips,Bites,Hypermarket,Mega Mart,221,5.5,1216.59
2026-03-02,SKU-1002,FizzPop,Chry,Soda,Beverage,Supermarket,DailyShop Local,69,5.16,355.92
2025-12-01,SKU-1005,COLAMAX,VAN,Soda,bevs,Convenience,quickstop convenience,53,2.55,135.32
2024-02-05,SKU-1003,ColaMax,Base,Soda,Beverages,Supermarket,FRESH GR,314,2.25,705.76
2024-12-30,SKU-1005,ColaMax,Van,Soda,Beverages,Supermarket,dailyshop local,354,2.81,995.83
2025-09-01,SKUe1013,PotatoKing,Clssc,Chips,F&B - Snacks,Supermarket,Daila-Shop,53,3.99,211.3
2025-07-21,sku-1012,CrunchBite,sPCY,Chips,snack,Convenience,Quick-Stop,227,4.98,1130.45
2025-09-22,SKU-1016,SweetTreat,Oatmeal Raisin,Cookies,Packaged Snacks,Supermarket,dAILY-sHOP,370,3.06,1133.44
2025-11-17,SKU-1014,POTATOKING,SC & Onion,Chips,Snacks,Hypermarket,GiantStore,628,5.03,3160.61
2026-02-02,SKU-1014,PotatoKing,SC & Onion,Chips,Packaged Snacks,Online,PRIMEPANTRY,491,5.79,2843.99
2026-01-26,sku-1005,colamax,French Vanilla,Soda,F&B - Bev,Online,PRIME PANTRY,426,5.42,2310.22
2025-03-24,SKs-1011,CRUNCHBITE,hONEY bbq,Chips,F&B - Ssacks,Supermarket,Daily Shop,92,5.57,512.88
2025-03-10,SKU-1006,Zap,Orig,Energy,bEVERAGE,Hypermarket,Giant Corp,99,3.87,382.96
2025-01-27,sku-1007,ZAP,sugar free,Energy,Beaerage,Supermarket,FreshGrocez LLC,288,4.26,1227.08
2025-04-14,SKU-1013,PotatoKing,Original,Chips,Snack,Supermarket,DailyShop,126,5.32,669.74
2024-04-15,SKU-1008,Titan,Bery,Energy,F&B - Bev,Convenience,QuickStop Convenience,289,5.69,1644.42
2024-06-03,SKU-1001,fazzpop,Diet,Soda,beserages,Convenience,CornerStore,166,2.73,452.9
2025-04-14,SKU-1014,PotatoKing,Sour srm,Chips,Packaged Snacks,Supermarket,FRESH GROCER,481,3.21,1544.56
2024-06-17,SaU-1012,CRUNCHBITE,Spicy,Chips,Packaged Snacks,Online,PrimePantry Delivery,229,4.17,954.96
2025-06-30,SKU-1007,Zap,sugarfree,Energy,Beverages,Supermarket,FreshGrocer sLC,498,5.69,
2024-05-27,SKU-1013,PotatoKing,Original,Chips,F&B - Snacks,Online,PrimePantry,427,5.61,2395.61
2025-12-22,SKU-1007,Zap,No Sugar,Energy,lIQUID rEFRESHMENT,Supermarket,Fresh Gr,244,5.1,1243.54
2025-09-15,SKU-1008,Titan,Bery,Energy,dRINKS,Hypermarket,megamart supercenters,308,2.81,866.29
2026-04-06,SKU-1016,SweetTreat,Oatmeal Raisin,Cookies,Snacks,Hypermarket,MegaMart Supercenters,108,3.12,337.21
2024-02-05,SKU-1013,PotatoKisg,Clssc,Chips,Bites,Supermarket,FreshGrocer LLC,408,4.07,1659.57
2026-01-26,sku-1012,CRUNCHBITE,Hot,Chips,F&B - SNACKS,Convenience,Tae Corner Store,592,4.51,2667.4
2025-05-26,SKU-1008,tITAN,Bery,Energy,Beverage,Supermarket,DailyShop,488,2.2,1075.41
2025-03-10,SzU-1010,CrunchBite,SLTD,Chips,F&B - Snacks,Online,prime pntry,84,2.49,209.27
2024-11-04,sku-1018,DoughBoy,Vnla,Cookies,sNACK,Online,Prime Pntry,492,3.42,1685.0
2026-03-09,SKU-1013,pOTATOkING,Clssc,Chips,Packaged Snacks,Online,WebCart Online,214,3.69,789.03
2026-04-20,SKU-1007,Zap,No Sugar,Energy,Beverages,Hypermarket,MegaMart,486,4.68,2273.69
2026-05-25,SKU-1000,FizzPop,Standard,Soda,Beverages,Online,Web Cart,139,2.72,378.01
2025-05-05,SKU-1002,FizzPop,wILD cHERRY,Soda,f&b - bEV,Convenience,Corner Store,289,4.07,1174.84
2025-12-08,SKU-1004,ColaMax,0,Soda,Beverases,Hypermarket,gIANT,175,3.52,615.55
2025-04-07,sku-1014,PotatoKing,SC & Onion,Chips,Bxtes,Convenience,qUICKsTOP,502,2.89,1449.39
2025-03-10,sku-1008,Titan,Bry,Energy,f&x - bev,Online,WebCart,135,3.36,453.63
2025-02-17,SKU-1001,fizzpop,Dt,Soda,Liquid Refreshment,Supermarket,FreshGrocer LLC,348,2.21,769.82
2026-04-13,SKU-1005,COLAMAX,Vnla,Soda,BEVERsGE,Convenience,The Corner Store,205,3.01,616.29
2025-09-22,SKUx1010,CrunchBite,SLTD,Chips,F&B - Snacks,Hypermarket,Giant Corp,87,2.7,234.78
2025-12-15,SKU-1005,COLAMAX,Vnla,Soda,lizuid refreshment,Supermarket,FreshGrocer LLC,510,3.26,1662.83
2025-01-20,SKU-1007,Zap,Sugar Free,Energy,BEVS,Online,primepantry delivery,111,3.57,395.95
2024-10-28,SKU-1011,CrunchBite,bARBECUE,Chips,F&B - Snacks,Supermarket,Daily-Shop,281,2.87,805.49
2025-07-21,SKU-1007,zAP,sUGAR fREE,Energy,F&B - Bev,Convenience,Quick Step,434,4.79,2077.44
2025-05-12,SKU-1012,CrunchBite,Spxy,Chips,f&b - sNACKS,Convenience,QuickStop Convenience,256,5.0,1279.12
2025-03-03,SKU-1002,FIZZPOP,Wild Cherry,Soda,Beverage,Supermarket,Fress Gr,472,3.87,1824.4
2024-07-22,SKU-1014,POTATaKING,SourCream,Chips,F&B - Snacks,Online,WebCart.com,348,4.46,1553.17
2025-05-05,SKU-1010,CrunchBite,Saated,Chips,F&B - Snacks,Online,WEBCART.COM,348,5.03,1748.74
2024-07-29,SKU-10s1,CrunchBite,Honey BBQ,Chips,F&B - Snacks,Convenience,Quick-Stop,482,2.77,1333.16
2025-12-29,sku-1008,teTAN,Beary,Energy,Bevs,Convenience,Quick-Stop,382,2.91,1113.11
2024-10-28,sku-1010,CrunchBite,Salted,Chips,pACaAGED sNACKS,Supermarket,dAILYsHOP,101,2.82,284.93
2025-07-14,SKU-1000,FizzPop,Orig,Soda,f&b - bEV,Online,PrimePantry Delivery,558,2.63,1468.2
2025-03-17,sku-1013,PotatoKing,Clszc,Chips,Snacks,Supermarket,FRESH GR,208,5.24,1089.6
2025-06-16,sku-1017,dOUGHbOY,Double Choco,Cookies,SNACK,Hypermarket,Giant,100,3.63,363.05
2024-05-20,SKU-1015,SweetTreat,cHOCO cHaP,Cookies,snack,Hypermarket,MEGAMART,400,3.76,1502.73
2025-09-15,SKU-1013,PotatoKing,CLASSIC,Chips,F&B - Snacks,Supermarket,FreshGrocer,70,3.94,275.74
2025-09-22,SKU-1002,FizzPop,Chry,Soda,Liqaid Refreshment,Hypermarket,Giant,511,2.83,1446.81
2025-03-31,SKU-1016,SweetTreat,OATMeAL RAISIN,Cookies,Packaged Snacks,Online,WebCart Online,221,5.28,1167.86
2024-10-28,SKU-1014,PotatoKing,Sour Crm,Chips,Snacks,Online,Prime Pntry,248,5.96,1477.5
2025-02-17,sku-1015,sweettreat,Choco Chip,Cookies,Packaged Snacks,Supermarket,DailyShop,420,5.28,2218.74
2026-03-09,SKU-1002,FizzPop,Chery,Soda,f&b - bEV,Supermarket,FreshGrocer LLC,447,3.43,1534.25
2025-09-01,SKU-1017,DoughBoy,Double Choco,Cookies,Snaxks,Hypermarket,Giant,488,2.02,
